;ا;ب;پ;ت;ث;ج;چ;ح;خ;د;ذ;ر;ز;ژ;س;ش;ص;ض;ط;ظ;ع;غ;ف;ق;ک;گ;ل;م;ن;و;ه;ی
ا;0.0;50408.64884504254;63130.26843843104;56769.56008648448;64340.79805467967;67643.19369866252;80857.44059046634;62202.24179363899;76407.39506314036;5625.956121937679;12738.774259411211;14396.521371836976;27201.173451650986;51702.29991972441;79018.38019360704;108691.00185146033;166760.67222043686;172595.4040104298;66949.87766253109;74781.8385677955;83621.90238076252;101946.87844844033;81177.48200100676;81921.48802734753;93255.56508681872;124314.81999269953;59830.37803475221;18824.011181174865;44095.51698794487;21052.078959183393;7771.66572746124;55049.87489947067
ب;50408.64884504254;0.0;18354.48086512327;10520.733410638926;21888.804387895838;45364.08164941587;53175.61033230322;43289.235465927384;57369.66294822325;46043.522627420345;41529.386531524535;37136.43167622929;36953.78026104075;47511.737480319825;29223.959754874933;65661.37898043121;118550.36053029663;124233.95054969199;33075.771098161145;40336.62859736503;63479.8736556721;83160.10194045713;31303.74205551232;51075.14054209873;46815.9218677346;83729.43366239133;40147.443343110855;35727.34651697621;22303.047202135695;34208.91861032646;46266.96034640312;17489.3155182568
پ;63130.26843843104;18354.48086512327;0.0;8090.938799695564;5062.074038773673;32656.368430590384;37297.11696025108;32772.83816558914;44321.164121060145;59299.84989349833;52089.696266510386;48956.082444543754;42794.19378245837;42964.14545909816;20752.013586479545;49778.655121772565;111216.63419013236;115453.32157574744;17897.56068282954;23662.026440814843;49280.494664163125;68356.20528842504;22478.267655759948;34441.55565922622;31054.331371814824;66438.68776081003;30783.540838134915;46529.074431561145;22359.010263711745;44400.22143142866;59736.94423053554;11264.006076227943
ت;56769.56008648448;10520.733410638926;8090.938799695564;0.0;11384.430574681264;37052.89795325546;43771.836631822145;35850.09576157617;48828.53153278291;52811.17403753049;46396.91734418652;42845.42278219175;38565.262114251906;43079.14946472067;23365.086468969614;56159.746841144835;114245.39135250279;119102.40660440437;23939.60867675088;30726.111371629202;54498.12919237661;73879.97909339037;25414.73772546603;41001.538604248824;37624.68985923665;73616.38634956986;32971.30445539635;40917.023692779;19705.51857582122;38977.79198022002;53251.96261662379;11387.296727612424
ث;64340.79805467967;21888.804387895838;5062.074038773673;11384.430574681264;0.0;29124.653576381937;34112.8424468025;29267.12806148796;40060.633176190866;60844.5957610124;52943.86043871221;50264.29135062972;42522.54509842111;40047.604646842476;22179.383562724575;46617.05590013043;111111.92548803626;114942.67435591052;15916.082775789848;21304.076031791938;45034.97257749124;63821.20772731062;23813.0141139751;30155.733191696818;29237.935557671975;63013.68745433547;26927.637891512855;48034.87787704405;22143.749216005133;45839.72062384076;61483.97557268281;13592.874399365153
ج;67643.19369866252;45364.08164941587;32656.368430590384;37052.89795325546;29124.653576381937;0.0;14904.722785653023;6653.836048347332;13980.567746087294;65735.32764429998;54924.564942481506;55038.87691063465;40836.85262763881;23235.18218490955;49790.33428829235;54500.68280233918;131749.76129998628;133577.77439060115;17782.293217860028;18370.57619685708;19324.3752525724;40042.13212566837;50956.44038472245;16740.29207953342;45644.166231299154;62912.85655136499;12861.098407295296;52072.68868646097;27973.168339406344;49676.88801825083;66719.76790769487;30246.432016505212
چ;80857.44059046634;53175.61033230322;37297.11696025108;43771.836631822145;34112.8424468025;14904.722785653023;0.0;21551.32633717785;19469.847272668667;78491.26509317331;68133.825896597;67749.78398319548;54683.10412109641;37813.99847700022;50947.14007069927;49053.445947427484;127193.72266617959;128189.26524877365;20412.96242762427;14750.530337623462;19074.5216938425;36914.53225389064;51538.617701118;12594.719678913405;41697.1388559999;53969.468066270754;26951.207488820928;64154.9786573895;39629.63083047791;61704.971138843415;79174.33706497271;36802.69473998771
ح;62202.24179363899;43289.235465927384;32772.83816558914;35850.09576157617;29267.12806148796;6653.836048347332;21551.32633717785;0.0;15740.236082372196;60588.22966156815;49558.52658723549;49991.54858388474;35130.01397264593;16897.39867936178;50753.89548726137;57837.52552108761;134175.62766529803;136326.8242127054;20549.804322121417;23227.722277885452;22580.56934706348;42780.802356122396;52139.672069799635;21696.966304485217;48739.818092312664;67383.14766770323;7483.874374866559;47467.33087964424;24198.55099529733;45136.371656932766;61753.793387443286;29605.546142485302
خ;76407.39506314036;57369.66294822325;44321.164121060145;48828.53153278291;40060.633176190866;13980.567746087294;19469.847272668667;15740.236082372196;0.0;75289.49135758204;63978.74273989825;64950.74319572637;49271.42159296288;26135.48212813036;59107.36227106527;54452.9309435221;134924.68510660957;135731.94053783212;30574.857827732365;29017.17586860165;7594.252026351629;27052.24258308669;60102.24488817489;17839.751521257374;51112.20970540667;59584.431686054624;19148.33356508938;62667.50278665419;39715.9582903488;60395.79058512469;76609.63258467408;43495.439151366074
د;5625.956121937679;46043.522627420345;59299.84989349833;52811.17403753049;60844.5957610124;65735.32764429998;78491.26509317331;60588.22966156815;75289.49135758204;0.0;11563.79140420523;10987.177182405736;26252.546459885092;51442.53581031763;74960.29033944108;105883.76211435249;162984.6964251199;168936.58120946118;63728.786031210366;71650.50802505956;82461.6087348172;101335.59795334005;77097.40170241256;79715.32876555514;89757.49667731285;121753.15734221214;58343.356332514304;14994.654915295061;41122.97707678446;17371.185843537274;2911.2996664762686;51104.663326122696
ذ;12738.774259411211;41529.386531524535;52089.696266510386;46396.91734418652;52943.86043871221;54924.564942481506;68133.825896597;49558.52658723549;63978.74273989825;11563.79140420523;0.0;5734.047563601678;14851.86491638812;39901.44667674637;69308.71303339588;97173.92191599534;158396.40875581608;163686.541926023;54595.74127338571;62330.23758241564;71162.53501478452;89849.91686775752;71450.72768468171;69293.3491886316;82028.56404795001;112197.51541874769;47409.7352192371;9351.691424131346;31902.978525946437;10657.998387065905;13347.259620894656;43688.75379941032
ر;14396.521371836976;37136.43167622929;48956.082444543754;42845.42278219175;50264.29135062972;55038.87691063465;67749.78398319548;49991.54858388474;64950.74319572637;10987.177182405736;5734.047563601678;0.0;16712.853698673993;42019.49603704297;65538.71305567662;95287.92579650183;154596.57729063497;160133.40230998892;52869.39220748849;60795.081532012286;72121.28806210219;91327.01771179207;67674.32670137497;68786.9837116089;79328.85349151965;110880.96531559035;47738.75654010592;6170.481986128407;30152.17858233359;7820.840653245261;12113.780673279893;40657.87441532719
ز;27201.173451650986;36953.78026104075;42794.19378245837;38565.262114251906;42522.54509842111;40836.85262763881;54683.10412109641;35130.01397264593;49271.42159296288;26252.546459885092;14851.86491638812;16712.853698673993;0.0;25368.513145471024;61397.030561955864;84734.39690621861;150531.14977247413;154980.08276299087;42769.70442265052;50118.554674369574;56543.40640459498;75150.02756180054;63486.27581556249;55286.58544979244;71063.55779407253;98763.0238676511;32817.31640527993;16558.717288214808;20827.84536952732;15200.16411996188;27902.548036133434;34888.879042307046
ژ;51702.29991972441;47511.737480319825;42964.14545909816;43079.14946472067;40047.604646842476;23235.18218490955;37813.99847700022;16897.39867936178;26135.48212813036;51442.53581031763;39901.44667674637;42019.49603704297;25368.513145471024;0.0;61548.72340950605;71427.97429087809;146135.88309052653;148734.18288858523;35119.96899177285;39490.740438539375;33305.88439739158;50337.239494784284;63270.38812799075;37503.74994302653;62876.5324255636;81652.11281125808;15667.633444901405;40828.980224812505;26098.18636279736;38935.537152953155;53113.67387708622;38001.93340751392
س;79018.38019360704;29223.959754874933;20752.013586479545;23365.086468969614;22179.383562724575;49790.33428829235;50947.14007069927;50753.89548726137;59107.36227106527;74960.29033944108;69308.71303339588;65538.71305567662;61397.030561955864;61548.72340950605;0.0;42086.8539630541;91193.13108419524;96108.11872123368;35208.16644229422;37505.977522142195;62885.58021022256;79236.40814274536;2204.5489056510573;45351.333716364876;22268.94849422436;61496.635347215415;47974.04318587374;63926.945875004734;42118.46541426236;62099.107586655635;75343.69727019948;31255.911365096214
ش;108691.00185146033;65661.37898043121;49778.655121772565;56159.746841144835;46617.05590013043;54500.68280233918;49053.445947427484;57837.52552108761;54452.9309435221;105883.76211435249;97173.92191599534;95287.92579650183;84734.39690621861;71427.97429087809;42086.8539630541;0.0;82048.15983062045;81736.16778202156;50036.53208582898;45790.400753218644;53797.469167560695;59469.320412845955;41077.868912535865;39143.83153563444;21578.20692151363;21207.227929355642;56228.69533908852;93675.57056525031;66408.36096821653;91455.24377369152;106909.95126879284;59412.30684557359
ص;166760.67222043686;118550.36053029663;111216.63419013236;114245.39135250279;111111.92548803626;131749.76129998628;127193.72266617959;134175.62766529803;134924.68510660957;162984.6964251199;158396.40875581608;154596.57729063497;150531.14977247413;146135.88309052653;91193.13108419524;82048.15983062045;0.0;11770.528262279457;120900.64093274085;118818.42407815171;135291.5560724195;141011.830159502;89344.07443808511;118801.36688187307;86610.31563428692;89579.79248070552;131189.06164613581;153971.31360884997;132227.07424558996;152354.85238496846;163525.22744569034;122104.59992576715
ض;172595.4040104298;124233.95054969199;115453.32157574744;119102.40660440437;114942.67435591052;133577.77439060115;128189.26524877365;136326.8242127054;135731.94053783212;168936.58120946118;163686.541926023;160133.40230998892;154980.08276299087;148734.18288858523;96108.11872123368;81736.16778202156;11770.528262279457;0.0;123724.46760914547;120969.66264231231;135489.16465718322;139560.32844853363;94213.93953502894;119702.80318681798;88879.23146661925;86592.21939847407;133608.05305770825;159362.9437828019;136410.56912361397;157633.18462093186;169561.57767500842;126423.71814793468
ط;66949.87766253109;33075.771098161145;17897.56068282954;23939.60867675088;15916.082775789848;17782.293217860028;20412.96242762427;20549.804322121417;30574.857827732365;63728.786031210366;54595.74127338571;52869.39220748849;42769.70442265052;35119.96899177285;35208.16644229422;50036.53208582898;120900.64093274085;123724.46760914547;0.0;8142.3233556210125;34585.556472544704;54434.04235633375;36309.928519475514;21809.374430320986;35006.89480847118;61909.204085475554;22603.40428580443;49334.2809973769;23521.159697344363;46897.94611928028;64197.34033371098;16675.0950249884
ظ;74781.8385677955;40336.62859736503;23662.026440814843;30726.111371629202;21304.076031791938;18370.57619685708;14750.530337623462;23227.722277885452;29017.17586860165;71650.50802505956;62330.23758241564;60795.081532012286;50118.554674369574;39490.740438539375;37505.977522142195;45790.400753218644;118818.42407815171;120969.66264231231;8142.3233556210125;0.0;31341.44668267154;50032.74297648794;38192.1653112355;17139.940607442837;32475.499519583973;55671.28655065723;26338.89102738474;57159.98217406342;31454.396569192228;54711.25067731699;72112.95956260449;24347.943480277652
ع;83621.90238076252;63479.8736556721;49280.494664163125;54498.12919237661;45034.97257749124;19324.3752525724;19074.5216938425;22580.56934706348;7594.252026351629;82461.6087348172;71162.53501478452;72121.28806210219;56543.40640459498;33305.88439739158;62885.58021022256;53797.469167560695;135291.5560724195;135489.16465718322;34585.556472544704;31341.44668267154;0.0;20745.860153596706;63663.29429616827;18521.273679497517;52460.27682135226;56224.815592962834;26491.296443547555;69604.9108734858;46514.57530843652;67307.81974366211;83707.1604229438;48955.88541450075
غ;101946.87844844033;83160.10194045713;68356.20528842504;73879.97909339037;63821.20772731062;40042.13212566837;36914.53225389064;42780.802356122396;27052.24258308669;101335.59795334005;89849.91686775752;91327.01771179207;75150.02756180054;50337.239494784284;79236.40814274536;59469.320412845955;141011.830159502;139560.32844853363;54434.04235633375;50032.74297648794;20745.860153596706;0.0;79722.75338557655;34911.86769863334;64961.85946028845;55264.72955205747;45562.27068277194;89204.71867737762;66701.86650057645;86992.50683314104;102779.54086257586;69246.0707163786
ف;81177.48200100676;31303.74205551232;22478.267655759948;25414.73772546603;23813.0141139751;50956.44038472245;51538.617701118;52139.672069799635;60102.24488817489;77097.40170241256;71450.72768468171;67674.32670137497;63486.27581556249;63270.38812799075;2204.5489056510573;41077.868912535865;89344.07443808511;94213.93953502894;36309.928519475514;38192.1653112355;63663.29429616827;79722.75338557655;0.0;45911.58397147671;21213.72462329807;60431.29729112364;49495.52995974461;66006.11183856508;44080.898743159494;64169.17208860601;77459.47044092338;32977.05766375115
ق;81921.48802734753;51075.14054209873;34441.55565922622;41001.538604248824;30155.733191696818;16740.29207953342;12594.719678913405;21696.966304485217;17839.751521257374;79715.32876555514;69293.3491886316;68786.9837116089;55286.58544979244;37503.74994302653;45351.333716364876;39143.83153563444;118801.36688187307;119702.80318681798;21809.374430320986;17139.940607442837;18521.273679497517;34911.86769863334;45911.58397147671;0.0;34224.51720719644;46176.33024751167;23793.18725948092;66116.78975906206;39443.15055801079;63699.63295260115;80719.34391157991;37114.87595664546
ک;93255.56508681872;46815.9218677346;31054.331371814824;37624.68985923665;29237.935557671975;45644.166231299154;41697.1388559999;48739.818092312664;51112.20970540667;89757.49667731285;82028.56404795001;79328.85349151965;71063.55779407253;62876.5324255636;22268.94849422436;21578.20692151363;86610.31563428692;88879.23146661925;35006.89480847118;32475.499519583973;52460.27682135226;64961.85946028845;21213.72462329807;34224.51720719644;0.0;39447.55287268049;47305.47759115311;77228.47788528728;51042.13140535925;75051.16458486645;90399.18014989259;41191.67933060215
گ;124314.81999269953;83729.43366239133;66438.68776081003;73616.38634956986;63013.68745433547;62912.85655136499;53969.468066270754;67383.14766770323;59584.431686054624;121753.15734221214;112197.51541874769;110880.96531559035;98763.0238676511;81652.11281125808;61496.635347215415;21207.227929355642;89579.79248070552;86592.21939847407;61909.204085475554;55671.28655065723;56224.815592962834;55264.72955205747;60431.29729112364;46176.33024751167;39447.55287268049;0.0;67448.17773732402;108769.41109438283;81083.93354832544;106422.80022943884;122779.0410527057;74566.22424263004
ل;59830.37803475221;40147.443343110855;30783.540838134915;32971.30445539635;26927.637891512855;12861.098407295296;26951.207488820928;7483.874374866559;19148.33356508938;58343.356332514304;47409.7352192371;47738.75654010592;32817.31640527993;15667.633444901405;47974.04318587374;56228.69533908852;131189.06164613581;133608.05305770825;22603.40428580443;26338.89102738474;26491.296443547555;45562.27068277194;49495.52995974461;23793.18725948092;47305.47759115311;67448.17773732402;0.0;46018.52240407464;21978.82209700065;43772.00883030643;59741.38417458256;28899.65492075333
م;18824.011181174865;35727.34651697621;46529.074431561145;40917.023692779;48034.87787704405;52072.68868646097;64154.9786573895;47467.33087964424;62667.50278665419;14994.654915295061;9351.691424131346;6170.481986128407;16558.717288214808;40828.980224812505;63926.945875004734;93675.57056525031;153971.31360884997;159362.9437828019;49334.2809973769;57159.98217406342;69604.9108734858;89204.71867737762;66006.11183856508;66116.78975906206;77228.47788528728;108769.41109438283;46018.52240407464;0.0;27689.260191413876;2464.2366778353003;15136.109034353503;37346.921113078075
ن;44095.51698794487;22303.047202135695;22359.010263711745;19705.51857582122;22143.749216005133;27973.168339406344;39629.63083047791;24198.55099529733;39715.9582903488;41122.97707678446;31902.978525946437;30152.17858233359;20827.84536952732;26098.18636279736;42118.46541426236;66408.36096821653;132227.07424558996;136410.56912361397;23521.159697344363;31454.396569192228;46514.57530843652;66701.86650057645;44080.898743159494;39443.15055801079;51042.13140535925;81083.93354832544;21978.82209700065;27689.260191413876;0.0;25357.616277639307;41955.29977310745;14804.499283459107
و;21052.078959183393;34208.91861032646;44400.22143142866;38977.79198022002;45839.72062384076;49676.88801825083;61704.971138843415;45136.371656932766;60395.79058512469;17371.185843537274;10657.998387065905;7820.840653245261;15200.16411996188;38935.537152953155;62099.107586655635;91455.24377369152;152354.85238496846;157633.18462093186;46897.94611928028;54711.25067731699;67307.81974366211;86992.50683314104;64169.17208860601;63699.63295260115;75051.16458486645;106422.80022943884;43772.00883030643;2464.2366778353003;25357.616277639307;0.0;17587.441366198902;35107.85815328051
ه;7771.66572746124;46266.96034640312;59736.94423053554;53251.96261662379;61483.97557268281;66719.76790769487;79174.33706497271;61753.793387443286;76609.63258467408;2911.2996664762686;13347.259620894656;12113.780673279893;27902.548036133434;53113.67387708622;75343.69727019948;106909.95126879284;163525.22744569034;169561.57767500842;64197.34033371098;72112.95956260449;83707.1604229438;102779.54086257586;77459.47044092338;80719.34391157991;90399.18014989259;122779.0410527057;59741.38417458256;15136.109034353503;41955.29977310745;17587.441366198902;0.0;51325.39208161497
ی;55049.87489947067;17489.3155182568;11264.006076227943;11387.296727612424;13592.874399365153;30246.432016505212;36802.69473998771;29605.546142485302;43495.439151366074;51104.663326122696;43688.75379941032;40657.87441532719;34888.879042307046;38001.93340751392;31255.911365096214;59412.30684557359;122104.59992576715;126423.71814793468;16675.0950249884;24347.943480277652;48955.88541450075;69246.0707163786;32977.05766375115;37114.87595664546;41191.67933060215;74566.22424263004;28899.65492075333;37346.921113078075;14804.499283459107;35107.85815328051;51325.39208161497;0.0
